x,y,z
-18.93496132,8.4980669,-1.22895455
-19.13496017,7.898067,-0.62895459
-19.68496132,9.39806747,-1.57895458
-19.28495979,8.89806747,-1.22895455
-19.23496056,9.04806709,-1.27895463
-19.18496132,9.04806709,-1.27895463
-19.03495979,9.04806709,-1.27895463
-19.28495979,9.09806728,-1.47895455
-19.28495979,9.2480669,-1.22895455
-19.28495979,9.34806728,-1.27895463
-19.28495979,9.39806747,-1.22895455
-19.68496132,9.09806728,-0.4289546
-18.98496056,8.7480669,-0.6789546
-18.93496132,8.84806728,-0.6789546
-19.13496017,9.29806709,-1.1789546
-19.08496094,9.09806728,-1.1789546
-18.98496056,9.44806671,-0.97895461
-20.48496056,8.04806709,0.27104539
-20.43496132,8.64806747,-0.2289546
-20.18496132,8.34806728,-0.2789546
-20.08496094,8.14806747,-0.2789546
-20.08496094,8.2480669,-0.2789546
-20.03495979,8.2480669,-0.0289546
-19.98496056,8.19806671,-0.0289546
-19.88496017,8.19806671,-0.0289546
-20.08496094,8.29806709,-0.0289546
-20.48496056,8.04806709,0.92104542
-20.33496094,7.99806738,1.17104542
-20.23496056,7.94806719,1.17104542
-20.18496132,7.94806719,1.17104542
-20.13496017,7.898067,1.12104535
-20.13496017,7.94806719,1.12104535
-20.18496132,7.99806738,1.12104535
-20.43496132,8.69806671,-0.0789546
-20.43496132,8.7480669,-0.0289546
-20.48496056,8.94806671,-0.2289546
-20.23496056,8.7480669,-0.0789546
-20.48496056,9.29806709,0.1210454
-20.23496056,9.14806747,0.72104537
-20.38496017,9.2480669,1.0710454
-20.48496056,9.34806728,1.12104535
-20.43496132,9.44806671,1.17104542
-20.38496017,9.39806747,1.17104542
-20.28495979,9.29806709,1.0710454
-19.48496056,9.44806671,-0.1289546
-19.18496132,9.44806671,0.17104539
-33.48495865,22.24806786,-2.97895455
-33.43495941,22.19806671,-2.97895455
-33.73495865,21.69806671,-2.1789546
-33.73495865,21.74806786,-2.1789546
-33.7849617,22.14806747,-2.12895465
-33.63496017,21.84806633,-2.02895451
-33.5349617,22.19806671,-2.0789547
-33.48495865,22.14806747,-2.0789547
-31.83496094,19.34806633,-2.87895465
-32.93495941,21.24806786,-2.4289546
-32.73495865,21.44806671,-2.02895451
-33.23495865,21.64806747,-2.62895465
-33.2849617,21.59806633,-2.47895455
-33.23495865,21.69806671,-2.62895465
-33.13496017,21.79806709,-2.5789547
-32.93495941,21.84806633,-2.0789547
-33.18495941,21.94806671,-2.47895455
-32.73495865,21.54806709,-2.02895451
-32.68495941,21.99806786,-2.37895465
-32.58496094,21.89806747,-2.37895465
-31.83496094,21.24806786,-2.8289547
-32.43495941,21.04806709,-2.47895455
-32.23495865,21.09806633,-2.4289546
-32.33496094,21.44806671,-2.02895451
-31.73496056,20.89806747,-2.6789546
-31.78495979,21.19806671,-2.77895451
-31.93496132,21.34806633,-2.37895465
-31.88496017,21.14806747,-2.37895465
-31.83496094,21.19806671,-2.37895465
-31.78495979,21.44806671,-2.37895465
-32.38496017,22.09806633,-3.12895465
-32.23495865,22.09806633,-3.0789547
-32.2849617,22.19806671,-3.12895465
-32.18495941,22.09806633,-3.12895465
-32.18495941,22.09806633,-3.0789547
-32.0349617,21.74806786,-2.8289547
-31.73496056,21.64806747,-3.02895451
-31.73496056,21.69806671,-3.02895451
-31.73496056,21.79806709,-3.02895451
-31.73496056,21.84806633,-3.02895451
-32.08496094,22.09806633,-3.02895451
-31.93496132,22.09806633,-3.02895451
-31.83496094,21.94806671,-3.02895451
-31.88496017,21.99806786,-3.02895451
-31.83496094,21.89806747,-2.9289546
-31.88496017,22.04806709,-2.97895455
-31.78495979,22.04806709,-2.97895455
-31.83496094,22.09806633,-3.02895451
-31.88496017,22.19806671,-3.02895451
-31.88496017,22.09806633,-2.97895455
-31.83496094,22.09806633,-2.97895455
-32.48495865,21.84806633,-2.47895455
-32.13496017,21.79806709,-2.47895455
-32.13496017,21.74806786,-2.27895451
-32.43495941,22.24806786,-2.72895455
-32.33496094,22.14806747,-2.72895455
-32.23495865,21.89806747,-2.72895455
-32.18495941,22.24806786,-2.4289546
-32.13496017,22.19806671,-2.4289546
-32.38496017,21.94806671,-2.3289547
-32.48495865,21.94806671,-2.02895451
-32.48495865,22.19806671,-2.02895451
-32.08496094,21.84806633,-2.6789546
-32.0349617,21.64806747,-2.37895465
-31.93496132,21.64806747,-2.37895465
-32.08496094,21.69806671,-2.27895451
-32.0349617,22.04806709,-2.6789546
-33.33496094,21.69806671,-1.97895455
-33.48495865,21.84806633,-0.6789546
-33.43495941,21.79806709,-0.62895459
-33.48495865,21.89806747,-0.72895461
-33.48495865,21.94806671,-0.72895461
-33.43495941,21.89806747,-0.72895461
-32.38496017,20.24806786,-1.97895455
-31.73496056,20.19806671,-1.87895465
-31.73496056,20.24806786,-1.87895465
-33.23495865,21.39806747,-1.62895465
-33.23495865,21.39806747,-1.57895458
-32.7849617,21.44806671,-1.97895455
-32.73495865,21.39806747,-1.9289546
-32.73495865,21.44806671,-1.9289546
-32.93495941,21.34806633,-0.6789546
-32.5349617,20.74806786,-1.07895458
-32.73495865,21.39806747,-0.57895458
-32.63496017,21.39806747,-0.57895458
-32.93495941,21.69806671,-1.22895455
-32.98495865,21.84806633,-1.22895455
-33.08496094,21.89806747,-1.22895455
-33.0349617,21.89806747,-1.22895455
-32.7849617,21.49806786,-1.97895455
-32.88496017,21.79806709,-1.52895463
-32.88496017,21.84806633,-1.52895463
-32.73495865,21.79806709,-1.52895463
-32.73495865,21.84806633,-1.52895463
-32.63496017,21.54806709,-1.52895463
-32.68495941,21.64806747,-1.47895455
-32.58496094,21.54806709,-1.52895463
-32.63496017,21.69806671,-1.52895463
-32.63496017,21.84806633,-1.52895463
-32.58496094,21.69806671,-1.47895455
-32.5349617,22.04806709,-1.9289546
-32.5349617,22.24806786,-1.97895455
-32.5349617,22.24806786,-1.9289546
-32.88496017,21.94806671,-1.57895458
-32.88496017,22.04806709,-1.57895458
-32.83496094,22.14806747,-1.57895458
-32.58496094,22.09806633,-1.57895458
-32.93495941,21.79806709,-0.6789546
