x,y,z
-18.98496056,15.39806747,-1.32895458
-18.98496056,15.44806671,-1.32895458
-18.93496132,15.39806747,-1.37895465
-19.28495979,15.59806728,-1.82895458
-19.23496056,15.59806728,-1.77895463
-19.23496056,15.7480669,-1.72895455
-19.28495979,15.84806728,-1.62895465
-19.08496094,15.59806728,-1.82895458
-18.98496056,15.54806709,-1.77895463
-18.93496132,15.64806747,-1.72895455
-19.08496094,15.79806709,-1.77895463
-18.93496132,15.84806728,-1.6789546
-19.18496132,15.64806747,-1.52895463
-19.13496017,15.54806709,-1.37895465
-19.18496132,15.69806671,-1.52895463
-18.93496132,15.54806709,-1.57895458
-18.98496056,15.4980669,-1.4289546
-18.93496132,15.4980669,-1.4289546
-18.98496056,15.4980669,-1.32895458
-18.93496132,15.4980669,-1.37895465
-18.93496132,15.54806709,-1.32895458
-18.98496056,15.59806728,-1.32895458
-18.93496132,15.59806728,-1.37895465
-18.93496132,15.59806728,-1.27895463
-18.93496132,15.64806747,-1.27895463
-18.93496132,15.84806728,-1.4289546
-18.98496056,15.69806671,-1.32895458
-18.93496132,15.39806747,-1.12895465
-19.13496017,15.64806747,-1.12895465
-19.13496017,15.69806671,-1.12895465
-18.98496056,15.64806747,-1.12895465
-19.08496094,15.79806709,-1.12895465
-19.08496094,15.84806728,-1.12895465
-18.93496132,15.84806728,-1.1789546
-22.68496132,20.64806747,-2.02895451
-23.03495979,21.99806786,-2.02895451
-22.98496056,22.14806747,-2.02895451
-22.88496017,20.99806786,-2.02895451
-22.73496056,20.89806747,-2.02895451
-22.68496132,20.69806671,-2.02895451
-22.88496017,21.09806633,-2.02895451
-22.63496017,21.59806633,-2.02895451
-22.63496017,22.14806747,-2.02895451
-22.53495979,22.24806786,-2.02895451
-22.48496056,21.74806786,-2.02895451
-22.43496132,21.79806709,-2.12895465
-22.43496132,21.84806633,-2.12895465
-22.43496132,22.24806786,-2.0789547
-22.18496132,21.94806671,-2.02895451
-22.13496017,21.89806747,-2.02895451
-22.18496132,21.99806786,-2.0789547
-22.13496017,21.99806786,-2.02895451
-22.13496017,22.04806709,-2.02895451
-22.18496132,22.09806633,-2.0789547
-22.18496132,22.14806747,-2.0789547
-22.13496017,22.14806747,-2.0789547
-22.13496017,22.19806671,-2.0789547
-22.13496017,19.84806633,-1.82895458
-22.18496132,19.74806786,-1.72895455
-22.53495979,20.39806747,-1.9289546
-22.53495979,20.39806747,-1.82895458
-22.53495979,20.44806671,-1.82895458
-22.53495979,20.39806747,-1.6789546
-22.68496132,20.64806747,-1.82895458
-22.63496017,20.64806747,-1.87895465
-22.58496094,20.54806709,-1.87895465
-22.53495979,20.64806747,-1.97895455
-22.68496132,20.64806747,-1.72895455
-22.63496017,20.59806633,-1.72895455
-22.58496094,20.49806786,-1.6789546
-22.58496094,20.59806633,-1.77895463
-22.68496132,20.64806747,-1.57895458
-22.63496017,20.59806633,-1.57895458
-22.58496094,20.54806709,-1.57895458
-22.23496056,19.94806671,-1.87895465
-22.23496056,19.89806747,-1.72895455
-22.28495979,20.24806786,-1.52895463
-22.48496056,20.34806633,-1.6789546
-22.48496056,20.39806747,-1.77895463
-22.48496056,20.54806709,-1.82895458
-22.48496056,20.64806747,-1.82895458
-22.33496094,20.49806786,-1.87895465
-22.33496094,20.54806709,-1.82895458
-22.33496094,20.64806747,-1.82895458
-22.48496056,20.49806786,-1.77895463
-22.48496056,20.49806786,-1.62895465
-22.38496017,20.59806633,-1.77895463
-22.38496017,20.59806633,-1.62895465
-22.28495979,20.44806671,-1.82895458
-22.28495979,20.44806671,-1.72895455
-22.28495979,20.49806786,-1.82895458
-22.23496056,20.54806709,-1.82895458
-22.28495979,20.59806633,-1.87895465
-22.23496056,20.59806633,-1.87895465
-22.23496056,20.59806633,-1.82895458
-22.18496132,20.64806747,-1.82895458
-22.13496017,20.64806747,-1.82895458
-22.28495979,20.49806786,-1.72895455
-22.28495979,20.64806747,-1.77895463
-22.13496017,20.49806786,-1.77895463
