x,y,z
-21.03496,21.698067,-1.928955
-21.03496,21.848066,-1.978955
-20.984961,21.798067,-1.978955
-20.934961,21.848066,-1.828955
-21.084961,21.948067,-1.928955
-21.084961,21.898067,-1.828955
-21.03496,22.048067,-1.928955
-20.934961,22.048067,-1.928955
-20.934961,21.998068,-1.878955
-21.03496,21.898067,-1.628955
-21.03496,22.048067,-1.728955
-20.984961,21.898067,-1.628955
-21.084961,22.098066,-1.978955
-21.03496,22.248068,-1.878955
-20.984961,22.148067,-1.828955
-20.934961,22.148067,-1.828955
-20.934961,22.248068,-1.878955
-21.03496,22.148067,-1.628955
-20.984961,22.148067,-1.678955
-21.084961,21.998068,-1.428955
-21.084961,22.048067,-1.428955
-21.03496,21.998068,-1.378955
-20.984961,21.948067,-1.378955
-20.984961,21.998068,-1.378955
-20.984961,22.048067,-1.378955
-20.934961,21.998068,-1.378955
-20.984961,22.048067,-1.228955
-20.934961,21.998068,-1.228955
-21.03496,22.098066,-1.428955
-20.934961,22.098066,-1.428955
-21.03496,22.248068,-1.228955
-20.934961,22.198067,-1.328955
-20.934961,22.198067,-1.228955
-20.934961,22.248068,-1.228955
-20.88496,21.498068,-1.978955
-20.834961,21.598066,-1.928955
-20.734961,21.598066,-1.928955
-20.834961,21.748068,-1.878955
-20.88496,21.848066,-1.978955
-20.734961,21.698067,-1.828955
-20.78496,21.848066,-1.828955
-20.734961,21.748068,-1.778955
-20.684961,21.498068,-1.978955
-20.684961,21.548067,-1.878955
-20.63496,21.648067,-1.928955
-20.684961,21.648067,-1.828955
-20.584961,21.548067,-1.828955
-20.584961,21.598066,-1.878955
-20.53496,21.598066,-1.878955
-20.684961,21.548067,-1.778955
-20.63496,21.648067,-1.728955
-20.53496,21.548067,-1.728955
-20.584961,21.598066,-1.778955
-20.684961,21.748068,-1.878955
-20.684961,21.848066,-1.928955
-20.584961,21.748068,-1.878955
-20.63496,21.798067,-1.778955
-20.684961,21.848066,-1.678955
-20.63496,21.848066,-1.678955
-20.584961,21.798067,-1.728955
-20.78496,21.798067,-1.428955
-20.734961,21.798067,-1.428955
-20.78496,21.848066,-1.378955
-20.584961,21.498068,-1.478955
-20.584961,21.648067,-1.378955
-20.53496,21.648067,-1.378955
-20.684961,21.798067,-1.428955
-20.53496,21.748068,-1.278955
-20.584961,21.848066,-1.278955
-20.53496,21.798067,-1.278955
-20.88496,21.998068,-1.878955
-20.78496,21.898067,-1.828955
-20.78496,21.948067,-1.828955
-20.88496,21.998068,-1.728955
-20.834961,22.048067,-1.778955
-20.78496,21.948067,-1.778955
-20.78496,21.998068,-1.728955
-20.734961,22.048067,-1.628955
-20.834961,22.198067,-1.978955
-20.834961,22.098066,-1.778955
-20.834961,22.148067,-1.628955
-20.88496,22.248068,-1.728955
